DATE,STATE,DISTRICT,CITY_TIER,PINCODE_COUNT,AGE_0_5,AGE_5_17,AGE_18_GREATER,TOTAL_POPULATION
2025-07-01,Uttar Pradesh,Firozabad,Tier 3,1,1940,1040,10,2990
2025-07-01,Uttar Pradesh,Bulandshahr,Tier 3,1,604,749,11,1364
2025-11-18,Assam,West Karbi Anglong,Tier 3,1,0,1,0,1
2025-12-21,Nagaland,Mon,Tier 3,1,1,0,0,1
2025-11-04,Odisha,Angul,Tier 3,1,2,0,0,2
2025-09-09,Arunachal Pradesh,Lower Siang,Tier 3,1,1,1,0,2
2025-11-10,Dadra and Nagar Haveli and Daman and Diu,Diu,Tier 3,1,1,0,0,1
2025-09-28,Maharashtra,Sindhudurg,Tier 3,1,1,0,0,1
2025-09-30,Haryana,Jind,Tier 3,1,1,0,0,1
2025-09-07,Nagaland,Mokokchung,Tier 3,1,0,1,0,1
2025-10-20,Uttar Pradesh,Auraiya,Tier 3,4,1,4,0,5
2025-10-21,Assam,Majuli,Tier 3,1,0,1,0,1
2025-10-18,Arunachal Pradesh,West Siang,Tier 3,2,3,1,0,4
2025-10-23,Uttar Pradesh,Ballia,Tier 3,1,0,1,0,1
2025-09-24,Mizoram,Kolasib,Tier 3,2,4,0,0,4
2025-11-18,Telangana,Jayashankar Bhupalpally,Tier 3,4,7,2,0,9
2025-07-01,Punjab,Tarn Taran,Tier 3,1,341,34,11,386
2025-12-26,Arunachal Pradesh,West Kameng,Tier 3,1,1,0,0,1
2025-10-27,Meghalaya,North Garo Hills,Tier 3,3,0,10,0,10
2025-11-05,Madhya Pradesh,Pandhurna,Tier 3,2,3,0,0,3
2025-11-11,Mizoram,Mamit,Tier 3,1,1,0,0,1
2025-09-30,Rajasthan,Jhalawar,Tier 3,1,1,0,0,1
2025-09-07,Punjab,Barnala,Tier 3,1,1,0,0,1
2025-09-08,Arunachal Pradesh,Kamle,Tier 3,1,0,1,0,1
2025-09-27,Odisha,Jharsuguda,Tier 3,1,1,0,0,1
2025-10-20,Telangana,Jayashankar Bhupalpally,Tier 3,1,2,0,0,2
2025-09-13,Arunachal Pradesh,Longding,Tier 3,1,1,19,0,20
2025-09-14,Telangana,Narayanpet,Tier 3,1,1,0,0,1
2025-09-14,Chhattisgarh,Jashpur,Tier 3,1,1,0,0,1
2025-10-20,Chhattisgarh,Sakti,Tier 3,1,0,1,0,1
2025-11-06,Arunachal Pradesh,West Kameng,Tier 3,1,2,0,0,2
2025-11-10,Chhattisgarh,Narayanpur,Tier 3,1,5,7,0,12
2025-09-07,Haryana,Nuh,Tier 3,2,8,0,0,8
2025-10-25,Nagaland,Longleng,Tier 3,1,1,0,0,1
2025-09-07,Madhya Pradesh,Mandsaur,Tier 3,3,6,0,0,6
2025-11-09,Nagaland,Mon,Tier 3,4,0,2,10,12
2025-10-24,Meghalaya,South West Garo Hills,Tier 3,3,6,5,0,11
2025-10-16,Delhi,North Delhi,Tier 1,4,16,8,0,24
2025-09-29,Assam,Bongaigaon,Tier 3,1,1,1,0,2
2025-10-18,Arunachal Pradesh,Upper Subansiri,Tier 3,1,3,0,0,3
2025-10-21,Assam,Sivasagar,Tier 3,1,2,1,0,3
2025-09-15,Lakshadweep,Lakshadweep,Tier 3,4,4,0,0,4
2025-09-19,Nagaland,Noklak,Tier 3,1,0,2,0,2
2025-09-19,Madhya Pradesh,Agar Malwa,Tier 3,4,11,6,0,17
2025-05-01,Madhya Pradesh,Khargone,Tier 3,1,304,131,13,448
2025-11-04,Madhya Pradesh,Vidisha,Tier 3,1,1,0,0,1
2025-11-02,Delhi,New Delhi,Tier 1,2,5,0,0,5
2025-09-28,Andhra Pradesh,Prakasam,Tier 3,1,1,0,0,1
2025-10-31,Arunachal Pradesh,East Kameng,Tier 3,1,1,0,0,1
2025-10-25,Himachal Pradesh,Lahaul and Spiti,Tier 3,3,3,0,0,3
2025-09-28,Karnataka,Shivamogga,Tier 3,1,1,0,0,1
2025-09-20,Nagaland,Kiphire,Tier 3,1,1,1,0,2
2025-12-15,Nagaland,Shamator,Tier 3,1,0,2,0,2
2025-11-11,Jammu and Kashmir,Ramban,Tier 3,3,7,4,0,11
2025-11-04,Jammu and Kashmir,Srinagar,Tier 2,1,1,0,0,1
2025-11-01,Jammu and Kashmir,Ganderbal,Tier 3,1,1,0,0,1
2025-06-01,Haryana,Kurukshetra,Tier 3,1,72,10,11,93
2025-05-01,Haryana,Nuh,Tier 3,1,1169,147,11,1327
2025-09-24,Arunachal Pradesh,East Kameng,Tier 3,1,1,1,0,2
2025-09-05,Madhya Pradesh,Burhanpur,Tier 3,1,2,0,0,2
2025-09-08,Punjab,Malerkotla,Tier 3,2,12,2,0,14
2025-10-21,Karnataka,Bengaluru Rural,Tier 3,2,4,0,1,5
2025-11-18,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,Tier 3,3,5,0,0,5
2025-09-28,Maharashtra,Wardha,Tier 3,1,0,1,0,1
2025-10-21,Rajasthan,Bundi,Tier 3,2,1,1,0,2
2025-10-28,Meghalaya,West Khasi Hills,Tier 3,2,2,8,76,86
2025-11-05,Nagaland,Shamator,Tier 3,1,0,1,0,1
2025-09-21,Andhra Pradesh,NTR,Tier 3,1,0,0,1,1
2025-12-22,Mizoram,Saiha,Tier 3,1,2,0,0,2
2025-11-13,Madhya Pradesh,Niwari,Tier 3,2,2,0,0,2
2025-09-02,Manipur,Ukhrul,Tier 3,3,4,8,0,12
2025-06-01,West Bengal,Medinipur West,Tier 3,1,45,67,10,122
2025-11-04,Assam,Darrang,Tier 3,1,1,0,0,1
2025-04-01,Uttar Pradesh,Aligarh,Tier 2,1,1066,643,58,1767
2025-05-01,Tamil Nadu,Cuddalore,Tier 3,1,120,11,10,141
2025-10-20,Assam,Dima Hasao,Tier 3,1,0,1,0,1
2025-09-07,Nagaland,Tuensang,Tier 3,1,0,1,0,1
2025-09-22,Delhi,Shahdara,Tier 1,2,2,1,0,3
2025-03-09,Uttar Pradesh,Aligarh,Tier 2,1,62,29,15,106
2025-12-28,Punjab,Shaheed Bhagat Singh Nagar,Tier 3,2,3,1,0,4
2025-10-21,Odisha,Debagarh,Tier 3,1,2,1,0,3
2025-12-23,Mizoram,Mamit,Tier 3,1,1,0,0,1
2025-10-15,Chhattisgarh,Narayanpur,Tier 3,1,4,5,0,9
2025-09-28,Jammu and Kashmir,Udhampur,Tier 3,1,1,0,0,1
2025-09-06,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Tier 3,2,2,0,0,2
2025-12-28,Bihar,Paschim Champaran,Tier 3,1,1,0,0,1
2025-10-22,Karnataka,Kalaburagi,Tier 2,1,1,0,0,1
2025-03-15,Delhi,North West Delhi,Tier 1,1,35,15,10,60
2025-09-21,Uttar Pradesh,Kasganj,Tier 3,1,0,1,0,1
2025-12-31,Rajasthan,Beawar,Tier 3,1,1,0,0,1
2025-09-27,Nagaland,Tseminyu,Tier 3,1,0,1,0,1
2025-06-01,Uttar Pradesh,Amroha,Tier 3,1,329,240,10,579
2025-09-30,Madhya Pradesh,Umaria,Tier 3,1,1,1,0,2
2025-09-21,Andhra Pradesh,Parvathipuram Manyam,Tier 3,1,0,0,1,1
2025-09-03,Himachal Pradesh,Lahaul and Spiti,Tier 3,1,1,0,0,1
2025-09-29,Haryana,Nuh,Tier 3,1,1,0,0,1
2025-09-09,Nagaland,Peren,Tier 3,1,2,0,0,2
2025-03-20,Meghalaya,Jaintia Hills,Tier 3,1,55,10,95,160
2025-10-21,Madhya Pradesh,Maihar,Tier 3,1,1,0,0,1
2025-07-01,Uttar Pradesh,Ayodhya,Tier 3,1,262,324,17,603
2025-09-05,Chhattisgarh,Narayanpur,Tier 3,1,3,8,0,11
2025-12-24,Jammu and Kashmir,Shopian,Tier 3,1,10,0,0,10
2025-05-01,Uttar Pradesh,Hapur,Tier 3,1,681,450,11,1142
2025-09-04,Nagaland,Wokha,Tier 3,1,1,1,1,3
2025-09-30,Chhattisgarh,Narayanpur,Tier 3,1,1,0,0,1
2025-10-17,Arunachal Pradesh,Kra Daadi,Tier 3,1,0,1,0,1
2025-10-23,Bihar,Gopalganj,Tier 3,1,0,0,1,1
2025-11-25,Manipur,Imphal West,Tier 3,4,4,1,0,5
2025-10-20,Punjab,S.A.S Nagar,Tier 3,4,4,1,0,5
2025-09-21,Jharkhand,Deoghar,Tier 3,3,2,2,0,4
2025-06-01,Uttar Pradesh,Budaun,Tier 3,1,210,353,12,575
2025-07-01,Andhra Pradesh,Prakasam,Tier 3,1,91,108,38,237
2025-09-07,Tamil Nadu,Tiruvannamalai,Tier 2,7,7,2,0,9
2025-09-05,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,4,0,4
2025-10-17,Mizoram,Lawngtlai,Tier 3,3,9,3,0,12
2025-09-30,West Bengal,Bankura,Tier 3,1,0,2,0,2
2025-10-27,Arunachal Pradesh,Lower Subansiri,Tier 3,1,1,1,0,2
2025-09-28,Rajasthan,Bundi,Tier 3,1,0,1,0,1
2025-10-18,Arunachal Pradesh,Lower Subansiri,Tier 3,1,1,1,0,2
2025-09-10,Arunachal Pradesh,Tirap,Tier 3,1,1,2,0,3
2025-10-29,Jharkhand,Simdega,Tier 3,3,4,5,0,9
2025-07-01,Rajasthan,Dholpur,Tier 3,1,467,247,13,727
2025-10-23,Andhra Pradesh,Anantapur,Tier 3,1,1,0,0,1
2025-09-30,Arunachal Pradesh,Siang,Tier 3,1,1,6,0,7
2025-09-14,Jammu and Kashmir,Udhampur,Tier 3,3,3,0,0,3
2025-11-25,Telangana,Mulugu,Tier 3,4,6,1,0,7
2025-11-18,Tripura,Gomati,Tier 3,6,8,5,0,13
2025-09-29,Telangana,Mahabubabad,Tier 3,2,2,0,0,2
2025-09-02,Jammu and Kashmir,Ramban,Tier 3,2,3,2,0,5
2025-03-15,Uttar Pradesh,Unnao,Tier 3,1,17,95,18,130
2025-12-27,Telangana,Mancherial,Tier 3,7,11,0,0,11
2025-05-01,Meghalaya,East Garo Hills,Tier 3,2,180,448,267,895
2025-09-02,Haryana,Fatehabad,Tier 3,5,22,1,0,23
2025-11-04,Tamil Nadu,Dharmapuri,Tier 3,1,1,0,0,1
2025-11-13,Arunachal Pradesh,West Siang,Tier 3,1,0,2,0,2
2025-12-22,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,0,0,1
2025-10-18,Nagaland,Phek,Tier 3,4,7,10,3,20
2025-09-05,Tamil Nadu,Erode,Tier 2,3,3,1,0,4
2025-10-23,Rajasthan,Sirohi,Tier 3,1,0,1,0,1
2025-10-24,Madhya Pradesh,Ashok Nagar,Tier 3,3,4,0,0,4
2025-09-17,Mizoram,Serchhip,Tier 3,1,2,0,0,2
2025-09-09,Arunachal Pradesh,Lower Subansiri,Tier 3,1,2,1,0,3
2025-11-03,Delhi,New Delhi,Tier 1,1,1,0,0,1
2025-12-31,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,1,1,0,2
2025-09-19,Tripura,Sepahijala,Tier 3,2,2,0,0,2
2025-09-02,Meghalaya,South West Garo Hills,Tier 3,3,20,9,13,42
2025-09-27,Meghalaya,South West Khasi Hills,Tier 3,2,0,1,2,3
2025-09-09,Nagaland,Dimapur,Tier 3,4,5,9,0,14
2025-09-24,Chhattisgarh,Mungeli,Tier 3,4,25,4,0,29
2025-11-10,Tamil Nadu,Ranipet,Tier 3,1,1,0,0,1
2025-11-05,Chhattisgarh,Narayanpur,Tier 3,1,10,7,0,17
2025-11-03,Arunachal Pradesh,East Siang,Tier 3,1,1,1,0,2
2025-09-11,Chhattisgarh,Dhamtari,Tier 3,6,24,1,0,25
2025-09-15,Mizoram,Saiha,Tier 3,2,5,1,0,6
2025-10-24,Meghalaya,North Garo Hills,Tier 3,4,2,9,0,11
2025-11-11,Mizoram,Lawngtlai,Tier 3,3,4,1,0,5
2025-10-30,Assam,Majuli,Tier 3,2,5,1,0,6
2025-10-31,Manipur,Ukhrul,Tier 3,2,3,8,1,12
2025-10-22,Goa,North Goa,Tier 3,1,0,0,1,1
2025-12-22,Nagaland,Mokokchung,Tier 3,1,1,0,0,1
2025-09-10,Assam,Bajali,Tier 3,1,1,0,0,1
2025-09-14,Bihar,Arwal,Tier 3,1,1,1,0,2
2025-12-15,Haryana,Panipat,Tier 3,8,84,2,0,86
2025-11-11,Andhra Pradesh,Nandyal,Tier 3,6,6,1,1,8
2025-06-01,Bihar,Nalanda,Tier 3,2,307,1153,37,1497
2025-09-28,Rajasthan,Chittorgarh,Tier 3,1,1,1,0,2
2025-09-27,Arunachal Pradesh,Upper Siang,Tier 3,1,1,0,0,1
2025-10-16,Haryana,Charkhi Dadri,Tier 3,3,4,0,0,4
2025-10-21,Tripura,Dhalai,Tier 3,2,1,1,0,2
2025-07-01,Tripura,North Tripura,Tier 3,1,124,75,17,216
2025-09-26,Assam,South Salmara Mankachar,Tier 3,2,16,3,0,19
2025-10-23,Gujarat,Chhotaudepur,Tier 3,1,1,0,0,1
2025-12-15,Meghalaya,Eastern West Khasi Hills,Tier 3,2,0,2,62,64
2025-09-03,Arunachal Pradesh,West Siang,Tier 3,2,2,0,0,2
2025-09-29,Jammu and Kashmir,Kupwara,Tier 3,4,7,0,0,7
2025-11-10,Goa,South Goa,Tier 3,6,7,1,0,8
2025-12-31,Mizoram,Aizawl,Tier 3,2,0,1,1,2
2025-11-08,Nagaland,Longleng,Tier 3,1,0,7,7,14
2025-10-30,Nagaland,Zunheboto,Tier 3,4,3,21,0,24
2025-09-14,Jharkhand,Jamtara,Tier 3,4,32,3,0,35
2025-12-23,Arunachal Pradesh,Tawang,Tier 3,1,1,0,0,1
2025-11-10,Himachal Pradesh,Kinnaur,Tier 3,1,1,0,0,1
2025-10-21,Uttar Pradesh,Mathura,Tier 2,5,5,3,0,8
2025-11-04,Mizoram,Saiha,Tier 3,1,1,0,0,1
2025-11-01,Nagaland,Peren,Tier 3,1,1,0,0,1
2025-12-25,Jammu and Kashmir,Shopian,Tier 3,1,12,2,0,14
2025-09-13,Arunachal Pradesh,East Siang,Tier 3,1,0,2,0,2
2025-10-22,Karnataka,Davanagere,Tier 3,1,1,0,0,1
2025-11-06,Rajasthan,Deeg,Tier 3,1,0,1,0,1
2025-04-01,Nagaland,Dimapur,Tier 3,1,249,454,80,783
2025-11-09,Arunachal Pradesh,Lohit,Tier 3,1,0,1,0,1
2025-07-01,Nagaland,Kohima,Tier 3,1,74,154,11,239
2025-09-26,Arunachal Pradesh,Dibang Valley,Tier 3,1,0,1,0,1
2025-09-05,Maharashtra,Chandrapur,Tier 3,1,1,0,0,1
2025-09-28,Uttar Pradesh,Hamirpur,Tier 2,1,1,0,0,1
2025-09-28,Rajasthan,Bharatpur,Tier 3,2,0,2,0,2
2025-11-03,Nagaland,Kiphire,Tier 3,1,0,11,0,11
2025-11-07,Lakshadweep,Lakshadweep,Tier 3,1,1,0,0,1
2025-05-01,Assam,Baksa,Tier 3,1,37,25,20,82
2025-03-20,Bihar,Sitamarhi,Tier 3,2,51,67,49,167
2025-07-01,Mizoram,Champhai,Tier 3,1,95,57,20,172
2025-09-05,Madhya Pradesh,Dhar,Tier 3,1,1,0,0,1
2025-10-13,Mizoram,Champhai,Tier 3,2,12,0,0,12
2025-07-01,Assam,Sonitpur,Tier 3,2,641,279,110,1030
2025-10-16,Chhattisgarh,Sakti,Tier 3,3,1,2,0,3
2025-10-17,Nagaland,Phek,Tier 3,2,1,4,0,5
2025-09-14,Telangana,Mulugu,Tier 3,1,2,0,0,2
2025-09-27,Punjab,Fatehgarh Sahib,Tier 3,4,4,1,0,5
2025-06-01,Madhya Pradesh,Khargone,Tier 3,1,242,258,26,526
2025-11-25,Assam,Biswanath,Tier 3,6,4,9,4,17
2025-11-12,Madhya Pradesh,Sheopur,Tier 3,5,28,22,17,67
2025-11-04,Assam,Sonitpur,Tier 3,1,0,1,0,1
2025-09-02,Mizoram,Mamit,Tier 3,2,1,2,0,3
2025-11-12,Nagaland,Shamator,Tier 3,1,0,1,0,1
2025-10-23,Jharkhand,Sahibganj,Tier 3,1,1,0,0,1
2025-04-01,Delhi,Shahdara,Tier 1,1,208,98,13,319
2025-09-21,Tamil Nadu,Erode,Tier 2,1,0,1,0,1
2025-12-22,Assam,Bajali,Tier 3,1,1,0,0,1
2025-09-30,Uttar Pradesh,Mirzapur,Tier 3,1,0,1,0,1
2025-09-28,Maharashtra,Washim,Tier 3,1,2,0,0,2
2025-09-11,Arunachal Pradesh,Lower Subansiri,Tier 3,1,0,2,0,2
2025-10-23,Tamil Nadu,Krishnagiri,Tier 3,1,1,0,0,1
2025-10-20,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,0,0,1
2025-10-27,Nagaland,Meluri,Tier 3,1,0,2,0,2
2025-09-17,Arunachal Pradesh,Papum Pare,Tier 3,1,0,1,0,1
2025-10-27,Mizoram,Saitual,Tier 3,1,0,0,5,5
2025-12-24,Arunachal Pradesh,Lohit,Tier 3,1,1,0,0,1
2025-11-04,West Bengal,Dakshin Dinajpur,Tier 3,1,1,1,0,2
2025-09-14,Haryana,Yamunanagar,Tier 3,1,1,0,0,1
2025-10-15,Arunachal Pradesh,Longding,Tier 3,1,0,3,0,3
2025-09-19,Nagaland,Kiphire,Tier 3,1,3,6,1,10
2025-10-29,Jammu and Kashmir,Poonch,Tier 3,4,18,5,0,23
2025-06-01,Uttar Pradesh,Azamgarh,Tier 3,1,109,333,10,452
2025-07-01,Mizoram,Saiha,Tier 3,1,87,48,18,153
2025-11-04,Maharashtra,Palghar,Tier 3,2,1,1,0,2
2025-09-07,Manipur,Imphal West,Tier 3,2,1,1,0,2
2025-05-01,Maharashtra,Satara,Tier 3,1,150,32,10,192
2025-11-02,Himachal Pradesh,Kinnaur,Tier 3,2,2,0,0,2
2025-10-19,Nagaland,Phek,Tier 3,4,6,20,0,26
2025-09-09,Manipur,Jiribam,Tier 3,1,0,1,0,1
2025-09-11,Mizoram,Saiha,Tier 3,1,3,0,0,3
2025-11-13,Arunachal Pradesh,West Kameng,Tier 3,1,1,0,0,1
2025-10-29,Ladakh,Leh,Tier 3,4,2,2,0,4
2025-09-13,Himachal Pradesh,Kinnaur,Tier 3,1,1,0,0,1
2025-10-25,Punjab,Fatehgarh Sahib,Tier 3,3,3,1,0,4
2025-09-19,Arunachal Pradesh,East Siang,Tier 3,2,1,2,0,3
2025-09-16,Meghalaya,West Khasi Hills,Tier 3,2,11,20,12,43
2025-09-22,Punjab,Shaheed Bhagat Singh Nagar,Tier 3,2,1,2,0,3
2025-09-11,Arunachal Pradesh,Longding,Tier 3,1,2,14,0,16
2025-12-24,Uttarakhand,Champawat,Tier 3,4,9,0,0,9
2025-09-23,Assam,Kamrup Metro,Tier 3,3,3,0,0,3
2025-10-16,Nagaland,Peren,Tier 3,1,1,4,0,5
2025-10-25,Arunachal Pradesh,Shi-yomi,Tier 3,1,1,0,0,1
2025-11-04,Telangana,Suryapet,Tier 3,1,1,0,0,1
2025-11-03,Mizoram,Serchhip,Tier 3,2,2,1,0,3
2025-04-01,Uttar Pradesh,Rampur,Tier 3,1,894,333,19,1246
2025-11-15,Punjab,Malerkotla,Tier 3,2,9,4,0,13
2025-11-09,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Tier 3,2,2,1,0,3
2025-09-04,Nagaland,Kiphire,Tier 3,1,1,1,0,2
2025-10-24,Dadra and Nagar Haveli and Daman and Diu,Diu,Tier 3,1,1,0,0,1
2025-09-21,Madhya Pradesh,Raisen,Tier 3,2,2,0,0,2
2025-09-04,Arunachal Pradesh,West Siang,Tier 3,2,2,3,0,5
2025-09-30,Madhya Pradesh,Rewa,Tier 3,2,2,0,0,2
2025-10-27,Assam,West Karbi Anglong,Tier 3,1,1,2,1,4
2025-09-25,Nagaland,Wokha,Tier 3,1,2,7,0,9
2025-09-30,Maharashtra,Beed,Tier 3,1,1,0,0,1
2025-09-21,Haryana,Mahendragarh,Tier 3,1,1,0,0,1
2025-11-02,Meghalaya,South West Khasi Hills,Tier 3,1,1,1,0,2
2025-07-01,Maharashtra,Dharashiv,Tier 3,1,275,105,10,390
2025-09-23,Gujarat,Dang,Tier 3,1,6,0,0,6
2025-11-18,Meghalaya,East Garo Hills,Tier 3,2,1,5,0,6
2025-09-23,Chhattisgarh,Sarangarh-Bilaigarh,Tier 3,1,1,0,0,1
2025-06-01,Tamil Nadu,Madurai,Tier 2,1,62,14,12,88
