DATE,STATE,DISTRICT,CITY_TIER,PINCODE_COUNT,DEMO_AGE_5_17,DEMO_AGE_17_PLUS,TOTAL_DEMO_COUNT
2025-10-17,Meghalaya,South West Khasi Hills,Tier 3,1,2,22,24
2025-12-26,Nagaland,Tuensang,Tier 3,1,0,2,2
2025-06-01,West Bengal,North 24 Parganas,Tier 3,1,96,935,1031
2025-09-06,Haryana,Charkhi Dadri,Tier 3,1,4,11,15
2025-12-22,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,0,2,2
2025-11-17,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,2,12,14
2025-09-01,Himachal Pradesh,Lahaul and Spiti,Tier 3,1,0,4,4
2025-12-22,Nagaland,Noklak,Tier 3,1,0,1,1
2025-12-14,Manipur,Jiribam,Tier 3,1,0,3,3
2025-12-18,Madhya Pradesh,Pandhurna,Tier 3,1,0,1,1
2025-10-22,Meghalaya,East Garo Hills,Tier 3,1,0,2,2
2025-12-03,Arunachal Pradesh,East Kameng,Tier 3,1,4,5,9
2025-12-14,Arunachal Pradesh,Kamle,Tier 3,1,0,2,2
2025-09-18,Sikkim,Mangan,Tier 3,2,3,5,8
2025-12-22,Nagaland,Longleng,Tier 3,1,0,4,4
2025-10-27,Delhi,Shahdara,Tier 1,1,4,24,28
2025-12-01,Meghalaya,South West Garo Hills,Tier 3,1,0,24,24
2025-04-01,Uttarakhand,Nainital,Tier 3,1,1182,6332,7514
2025-04-01,Madhya Pradesh,Khargone,Tier 3,1,338,1622,1960
2025-11-27,Meghalaya,West Khasi Hills,Tier 3,1,1,11,12
2025-11-18,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,1,8,9
2025-09-20,Arunachal Pradesh,Lower Siang,Tier 3,1,0,2,2
2025-11-07,Delhi,New Delhi,Tier 1,2,5,24,29
2025-11-12,Nagaland,Shamator,Tier 3,1,0,2,2
2025-07-01,Uttar Pradesh,Mathura,Tier 2,1,346,2328,2674
2025-11-14,Meghalaya,East Garo Hills,Tier 3,1,2,17,19
2025-09-20,Manipur,Kakching,Tier 3,2,8,15,23
2025-10-17,Arunachal Pradesh,Upper Siang,Tier 3,1,4,8,12
2025-10-21,Arunachal Pradesh,Dibang Valley,Tier 3,1,0,2,2
2025-07-01,Bihar,Darbhanga,Tier 3,1,237,2356,2593
2025-11-03,Nagaland,Kiphire,Tier 3,1,2,21,23
2025-12-13,Meghalaya,West Khasi Hills,Tier 3,1,7,16,23
2025-10-22,Dadra and Nagar Haveli and Daman and Diu,Daman,Tier 3,1,0,2,2
2025-10-23,Jammu and Kashmir,Shopian,Tier 3,1,0,4,4
2025-11-28,Manipur,Pherzawl,Tier 3,1,0,2,2
2025-12-24,Rajasthan,Dholpur,Tier 3,1,6,15,21
2025-12-11,Nagaland,Wokha,Tier 3,1,0,13,13
2025-11-14,Meghalaya,South Garo Hills,Tier 3,1,0,8,8
2025-11-26,Manipur,Jiribam,Tier 3,1,0,8,8
2025-12-01,Arunachal Pradesh,Lohit,Tier 3,1,1,2,3
2025-04-01,Karnataka,Yadgir,Tier 3,1,374,866,1240
2025-11-14,Rajasthan,Balotra,Tier 3,1,0,1,1
2025-09-11,Mizoram,Khawzawl,Tier 3,1,0,2,2
2025-12-29,Nagaland,Tseminyu,Tier 3,1,1,2,3
2025-12-28,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,1,1
2025-10-22,Tripura,Unakoti,Tier 3,1,0,2,2
2025-10-23,Mizoram,Saiha,Tier 3,1,0,2,2
2025-09-13,Nagaland,Meluri,Tier 3,1,0,2,2
2025-11-09,Jammu and Kashmir,Shopian,Tier 3,1,20,22,42
2025-12-18,Telangana,Kamareddy,Tier 3,1,0,2,2
2025-05-01,Chhattisgarh,Surguja,Tier 3,1,436,3682,4118
2025-12-27,Meghalaya,North Garo Hills,Tier 3,2,0,3,3
2025-07-01,Jammu and Kashmir,Baramula,Tier 3,1,80,686,766
2025-09-11,Arunachal Pradesh,Lower Subansiri,Tier 3,1,3,15,18
2025-06-01,Himachal Pradesh,Bilaspur,Tier 2,1,19,124,143
2025-10-22,Delhi,South East Delhi,Tier 1,1,0,2,2
2025-12-15,Rajasthan,Phalodi,Tier 3,1,0,2,2
2025-06-01,Andhra Pradesh,Prakasam,Tier 3,2,506,2849,3355
2025-10-21,Arunachal Pradesh,Longding,Tier 3,1,1,0,1
2025-12-18,Meghalaya,East Garo Hills,Tier 3,1,0,1,1
2025-09-11,Nagaland,Meluri,Tier 3,1,0,1,1
2025-10-21,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,2,2
2025-04-01,Telangana,Suryapet,Tier 3,1,95,811,906
2025-11-13,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,2,14,16
2025-11-17,Arunachal Pradesh,Dibang Valley,Tier 3,1,0,4,4
2025-07-01,Andhra Pradesh,East Godavari,Tier 3,1,212,1861,2073
2025-09-19,Arunachal Pradesh,Lower Subansiri,Tier 3,1,4,30,34
2025-12-26,Chhattisgarh,Narayanpur,Tier 3,1,16,66,82
2025-10-23,Arunachal Pradesh,Kurung Kumey,Tier 3,1,0,1,1
2025-10-26,Jharkhand,Chatra,Tier 3,1,0,68,68
2025-11-15,Arunachal Pradesh,East Kameng,Tier 3,1,0,10,10
2025-12-25,Nagaland,Mon,Tier 3,1,0,4,4
2025-12-21,Arunachal Pradesh,Siang,Tier 3,1,0,1,1
2025-11-11,Arunachal Pradesh,Lower Subansiri,Tier 3,1,0,30,30
2025-11-05,Arunachal Pradesh,Anjaw,Tier 3,1,2,2,4
2025-10-30,Arunachal Pradesh,Namsai,Tier 3,2,4,3,7
2025-11-19,Nagaland,Chumukedima,Tier 3,1,0,10,10
2025-12-29,Chhattisgarh,Mahasamund,Tier 3,3,14,197,211
2025-12-01,Jharkhand,Simdega,Tier 3,1,0,9,9
2025-12-24,Rajasthan,Hanumangarh,Tier 3,2,6,44,50
2025-12-05,Rajasthan,Deeg,Tier 3,1,0,1,1
2025-09-05,Himachal Pradesh,Lahaul and Spiti,Tier 3,1,0,1,1
2025-04-01,Uttar Pradesh,Rampur,Tier 3,1,756,5993,6749
2025-11-05,Arunachal Pradesh,Dibang Valley,Tier 3,1,1,1,2
2025-06-01,Uttar Pradesh,Muzaffarnagar,Tier 3,1,592,6770,7362
2025-12-29,Jammu and Kashmir,Ramban,Tier 3,1,2,5,7
2025-09-08,Arunachal Pradesh,Lohit,Tier 3,2,2,25,27
2025-11-10,Nagaland,Shamator,Tier 3,1,0,1,1
2025-12-20,Chhattisgarh,Narayanpur,Tier 3,1,10,20,30
2025-11-27,Delhi,South East Delhi,Tier 1,1,2,13,15
2025-06-01,Andhra Pradesh,Tirupati,Tier 3,2,315,1643,1958
2025-09-15,Delhi,South East Delhi,Tier 1,1,0,10,10
2025-11-15,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,4,4
2025-12-18,Arunachal Pradesh,Tawang,Tier 3,1,0,1,1
2025-10-28,Assam,South Salmara Mankachar,Tier 3,1,6,49,55
2025-12-24,Nagaland,Peren,Tier 3,1,1,0,1
2025-12-16,Delhi,South East Delhi,Tier 1,1,0,16,16
2025-06-01,Karnataka,Kolar,Tier 3,1,80,483,563
2025-05-01,Uttar Pradesh,Hapur,Tier 3,1,1026,7872,8898
2025-07-01,Karnataka,Kolar,Tier 3,2,598,3862,4460
2025-11-17,Arunachal Pradesh,East Kameng,Tier 3,1,4,16,20
2025-11-09,Mizoram,Saiha,Tier 3,1,0,2,2
2025-11-28,Arunachal Pradesh,Dibang Valley,Tier 3,1,2,6,8
2025-05-01,Uttar Pradesh,Etawah,Tier 3,1,646,4404,5050
2025-04-01,Jammu and Kashmir,Doda,Tier 3,1,124,958,1082
2025-10-16,Arunachal Pradesh,Lower Subansiri,Tier 3,1,2,10,12
2025-12-14,Arunachal Pradesh,Lower Siang,Tier 3,1,0,2,2
2025-10-22,Nagaland,Mon,Tier 3,1,0,1,1
2025-12-20,Arunachal Pradesh,Lower Subansiri,Tier 3,1,0,1,1
2025-11-27,Andaman and Nicobar Islands,Nicobars,Tier 3,1,0,8,8
2025-10-15,Arunachal Pradesh,Pakke Kessang,Tier 3,1,0,2,2
2025-12-24,Mizoram,Mamit,Tier 3,1,0,1,1
2025-05-01,Gujarat,Bhavnagar,Tier 2,1,189,1683,1872
2025-10-26,Meghalaya,Jaintia Hills,Tier 3,1,3,21,24
2025-06-01,Uttarakhand,Tehri Garhwal,Tier 3,1,242,2224,2466
2025-12-21,Gujarat,Dang,Tier 3,2,6,8,14
2025-11-10,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,18,18
2025-11-28,Arunachal Pradesh,Longding,Tier 3,1,0,12,12
2025-11-09,Nagaland,Mon,Tier 3,1,0,2,2
2025-12-04,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,4,8,12
2025-09-02,Mizoram,Saitual,Tier 3,1,0,1,1
2025-10-15,Jammu and Kashmir,Shopian,Tier 3,1,8,27,35
2025-11-27,Arunachal Pradesh,Kra Daadi,Tier 3,1,0,3,3
2025-12-21,Arunachal Pradesh,Tirap,Tier 3,1,0,2,2
2025-03-01,Nagaland,Kohima,Tier 3,1,48,896,944
2025-10-19,Arunachal Pradesh,Kra Daadi,Tier 3,1,2,1,3
2025-12-16,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,2,3
2025-11-13,Himachal Pradesh,Lahaul and Spiti,Tier 3,1,0,2,2
2025-12-14,Mizoram,Lunglei,Tier 3,2,3,17,20
2025-09-19,Arunachal Pradesh,Tawang,Tier 3,2,1,8,9
2025-12-06,Rajasthan,Deeg,Tier 3,1,0,2,2
2025-06-01,West Bengal,Bardhaman,Tier 2,1,39,544,583
2025-10-15,Chhattisgarh,Mungeli,Tier 3,1,14,106,120
2025-07-01,Karnataka,Yadgir,Tier 3,1,330,1152,1482
2025-05-01,Jammu and Kashmir,Baramula,Tier 3,2,419,2365,2784
2025-09-08,Meghalaya,West Khasi Hills,Tier 3,2,19,136,155
2025-12-18,Assam,Majuli,Tier 3,1,0,1,1
2025-10-26,Arunachal Pradesh,Kurung Kumey,Tier 3,1,3,3,6
2025-05-01,Himachal Pradesh,Chamba,Tier 3,1,48,194,242
2025-12-03,Nagaland,Kiphire,Tier 3,1,3,21,24
2025-09-19,Nagaland,Noklak,Tier 3,1,2,4,6
2025-11-04,Manipur,Kakching,Tier 3,1,2,7,9
2025-06-01,Delhi,Shahdara,Tier 1,1,510,3148,3658
2025-11-02,Nagaland,Wokha,Tier 3,1,0,2,2
2025-12-02,Arunachal Pradesh,Kurung Kumey,Tier 3,1,2,6,8
2025-11-03,Jharkhand,Chatra,Tier 3,3,21,210,231
2025-07-01,Uttar Pradesh,Kanpur Nagar,Tier 3,1,528,5600,6128
2025-11-01,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,2,2
2025-11-06,Arunachal Pradesh,Shi-yomi,Tier 3,1,2,3,5
2025-10-17,Meghalaya,West Khasi Hills,Tier 3,1,4,18,22
2025-04-01,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Tier 3,1,156,966,1122
2025-12-28,Arunachal Pradesh,Lower Subansiri,Tier 3,1,0,1,1
2025-07-01,Karnataka,Vijayanagara,Tier 3,1,116,920,1036
2025-09-13,Arunachal Pradesh,East Siang,Tier 3,1,2,8,10
2025-10-26,Jammu and Kashmir,Ramban,Tier 3,1,14,32,46
2025-11-12,Delhi,South East Delhi,Tier 1,1,2,22,24
2025-12-09,Meghalaya,West Khasi Hills,Tier 3,1,6,46,52
2025-12-12,Chhattisgarh,Gaurela-pendra-marwahi,Tier 3,2,8,70,78
2025-10-16,Assam,Majuli,Tier 3,1,2,16,18
2025-05-01,Maharashtra,Amravati,Tier 2,1,24,338,362
2025-10-16,Jammu and Kashmir,Shopian,Tier 3,1,24,74,98
2025-12-07,Manipur,Jiribam,Tier 3,1,0,12,12
2025-12-29,Haryana,Faridabad,Tier 2,2,4,21,25
2025-09-19,Nagaland,Zunheboto,Tier 3,1,0,1,1
2025-11-14,Meghalaya,South West Garo Hills,Tier 3,1,4,16,20
2025-06-01,Karnataka,Bengaluru South,Tier 3,2,325,2111,2436
2025-11-28,Arunachal Pradesh,Kurung Kumey,Tier 3,1,2,2,4
2025-09-06,Dadra and Nagar Haveli and Daman and Diu,Daman,Tier 3,2,8,35,43
2025-04-01,Madhya Pradesh,Katni,Tier 3,1,766,5004,5770
2025-12-09,Arunachal Pradesh,Namsai,Tier 3,1,1,8,9
2025-11-13,Meghalaya,West Khasi Hills,Tier 3,1,7,29,36
2025-11-14,Nagaland,Tseminyu,Tier 3,1,0,1,1
2025-10-22,Meghalaya,North Garo Hills,Tier 3,1,0,2,2
2025-10-29,Mizoram,Saiha,Tier 3,2,0,18,18
2025-09-04,Jammu and Kashmir,Reasi,Tier 3,3,0,9,9
2025-09-04,Nagaland,Niuland,Tier 3,1,1,0,1
2025-12-13,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,3,3
2025-11-15,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,1,1
2025-09-04,Nagaland,Kiphire,Tier 3,1,0,13,13
2025-09-02,Dadra and Nagar Haveli and Daman and Diu,Diu,Tier 3,2,0,10,10
2025-05-01,Uttar Pradesh,Bulandshahr,Tier 3,1,858,6034,6892
2025-06-01,Maharashtra,Amravati,Tier 2,1,336,1670,2006
2025-05-01,Punjab,Bathinda,Tier 3,1,205,2125,2330
2025-12-02,Nagaland,Phek,Tier 3,1,0,1,1
2025-12-23,Arunachal Pradesh,Kra Daadi,Tier 3,1,0,2,2
2025-10-26,Arunachal Pradesh,Lohit,Tier 3,1,1,5,6
2025-10-16,Manipur,Pherzawl,Tier 3,1,0,2,2
2025-10-19,Arunachal Pradesh,Longding,Tier 3,1,2,9,11
2025-09-17,Arunachal Pradesh,East Kameng,Tier 3,1,14,22,36
2025-12-15,Odisha,Debagarh,Tier 3,1,0,5,5
2025-09-07,Nagaland,Tuensang,Tier 3,1,2,1,3
2025-09-14,Nagaland,Shamator,Tier 3,1,2,12,14
2025-09-10,Nagaland,Noklak,Tier 3,1,0,5,5
2025-06-01,Haryana,Nuh,Tier 3,2,431,4655,5086
2025-11-15,Arunachal Pradesh,Kurung Kumey,Tier 3,1,1,0,1
2025-06-01,Rajasthan,Ganganagar,Tier 3,1,238,2252,2490
2025-12-10,Mizoram,Saitual,Tier 3,1,0,3,3
2025-12-14,Arunachal Pradesh,Lower Subansiri,Tier 3,1,1,5,6
2025-11-28,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,9,10
2025-11-19,Tripura,Khowai,Tier 3,1,4,18,22
2025-11-04,Arunachal Pradesh,Upper Subansiri,Tier 3,1,0,13,13
2025-07-01,Haryana,Ambala,Tier 3,1,107,578,685
2025-09-06,Jammu and Kashmir,Ramban,Tier 3,1,0,4,4
2025-09-13,Arunachal Pradesh,Kra Daadi,Tier 3,1,0,1,1
2025-11-13,Tripura,Khowai,Tier 3,1,0,4,4
2025-12-18,Jammu and Kashmir,Kulgam,Tier 3,1,0,3,3
2025-07-01,Uttarakhand,Dehradun,Tier 2,1,451,5131,5582
2025-09-16,Nagaland,Chumukedima,Tier 3,1,0,2,2
2025-11-12,Arunachal Pradesh,West Kameng,Tier 3,1,4,12,16
2025-09-05,Mizoram,Saitual,Tier 3,1,0,2,2
2025-05-01,Jammu and Kashmir,Kulgam,Tier 3,1,372,1566,1938
2025-10-22,Madhya Pradesh,Narsinghpur,Tier 3,1,0,2,2
2025-05-01,Telangana,Siddipet,Tier 3,1,48,368,416
2025-12-08,Nagaland,Noklak,Tier 3,1,2,14,16
2025-06-01,Telangana,Vikarabad,Tier 3,1,768,3058,3826
2025-10-23,Chhattisgarh,Kondagaon,Tier 3,1,2,4,6
2025-10-22,Pondicherry,Karaikal,Tier 3,1,0,6,6
2025-07-01,Karnataka,Koppal,Tier 3,1,272,1040,1312
2025-09-06,Jammu and Kashmir,Bandipore,Tier 3,1,20,50,70
2025-12-25,Jammu and Kashmir,Ganderbal,Tier 3,1,4,19,23
2025-12-24,Rajasthan,Pratapgarh,Tier 3,1,2,10,12
2025-10-16,Arunachal Pradesh,Lower Siang,Tier 3,1,0,1,1
2025-10-18,Rajasthan,Hanumangarh,Tier 3,1,1,10,11
2025-11-19,Nagaland,Kiphire,Tier 3,1,2,14,16
2025-10-22,Manipur,Senapati,Tier 3,1,0,2,2
2025-10-28,Nagaland,Peren,Tier 3,1,2,24,26
2025-12-29,Arunachal Pradesh,Kamle,Tier 3,1,0,2,2
2025-11-29,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,6,6
2025-09-01,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,2,4,6
2025-09-20,Nagaland,Kiphire,Tier 3,1,4,20,24
2025-04-01,West Bengal,Dakshin Dinajpur,Tier 3,1,182,2156,2338
2025-11-03,Chhattisgarh,Narayanpur,Tier 3,1,16,52,68
2025-10-20,Mizoram,Mamit,Tier 3,1,1,0,1
2025-11-15,Chhattisgarh,Narayanpur,Tier 3,1,3,27,30
2025-07-01,Himachal Pradesh,Sirmaur,Tier 3,1,83,744,827
2025-06-01,Rajasthan,Bikaner,Tier 2,1,246,2525,2771
2025-09-13,Arunachal Pradesh,Longding,Tier 3,1,1,11,12
2025-11-29,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,3,3
2025-11-17,Madhya Pradesh,Burhanpur,Tier 3,3,7,85,92
2025-11-05,Odisha,Debagarh,Tier 3,1,3,9,12
2025-10-31,Manipur,Jiribam,Tier 3,1,1,8,9
2025-11-05,Arunachal Pradesh,Lower Subansiri,Tier 3,1,1,0,1
2025-10-28,Arunachal Pradesh,West Siang,Tier 3,3,4,17,21
2025-10-25,Andaman and Nicobar Islands,Nicobars,Tier 3,1,0,1,1
2025-12-05,Meghalaya,South West Khasi Hills,Tier 3,2,2,13,15
2025-11-25,Arunachal Pradesh,Leparada,Tier 3,1,0,1,1
2025-09-07,Haryana,Nuh,Tier 3,1,0,9,9
2025-10-20,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,0,1
2025-12-20,Arunachal Pradesh,Pakke Kessang,Tier 3,1,0,1,1
2025-09-04,Chhattisgarh,Narayanpur,Tier 3,1,7,57,64
2025-12-15,Chhattisgarh,Mungeli,Tier 3,1,9,59,68
2025-09-13,Mizoram,Saitual,Tier 3,1,0,2,2
2025-09-06,Arunachal Pradesh,East Kameng,Tier 3,1,4,40,44
2025-11-26,Mizoram,Saiha,Tier 3,1,0,2,2
2025-10-22,Arunachal Pradesh,Kamle,Tier 3,1,2,0,2
2025-12-12,Arunachal Pradesh,Anjaw,Tier 3,1,0,14,14
2025-06-01,Maharashtra,Bhandara,Tier 3,1,66,568,634
2025-12-05,Arunachal Pradesh,Lohit,Tier 3,1,0,6,6
2025-11-27,Manipur,Jiribam,Tier 3,1,0,6,6
2025-09-16,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,8,54,62
2025-09-03,Jammu and Kashmir,Ramban,Tier 3,1,0,1,1
2025-10-26,Arunachal Pradesh,Upper Subansiri,Tier 3,1,10,8,18
2025-09-12,Mizoram,Khawzawl,Tier 3,1,0,1,1
2025-12-07,Bihar,Paschim Champaran,Tier 3,1,0,1,1
2025-12-19,Jammu and Kashmir,Shopian,Tier 3,1,12,47,59
2025-12-01,Madhya Pradesh,Dewas,Tier 3,2,7,90,97
2025-11-01,Arunachal Pradesh,Kra Daadi,Tier 3,1,1,2,3
2025-12-05,Nagaland,Peren,Tier 3,1,1,6,7
2025-09-18,Jammu and Kashmir,Kishtwar,Tier 3,1,1,3,4
2025-12-20,Arunachal Pradesh,East Kameng,Tier 3,1,0,1,1
2025-09-20,Jammu and Kashmir,Bandipore,Tier 3,1,3,13,16
2025-12-24,Sikkim,West Sikkim,Tier 3,1,0,2,2
2025-10-21,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,2,7,9
2025-12-18,Bihar,Paschim Champaran,Tier 3,1,0,1,1
2025-11-15,Mizoram,Saiha,Tier 3,1,0,10,10
2025-10-23,Gujarat,Mahisagar,Tier 3,1,2,0,2
2025-12-13,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,4,6,10
2025-11-25,Arunachal Pradesh,Kurung Kumey,Tier 3,1,0,2,2
2025-11-15,Assam,Majuli,Tier 3,3,6,20,26
2025-09-04,Mizoram,Saitual,Tier 3,1,0,1,1
2025-09-06,Jammu and Kashmir,Kulgam,Tier 3,1,0,6,6
2025-09-07,Nagaland,Shamator,Tier 3,1,0,2,2
2025-11-07,Meghalaya,East Garo Hills,Tier 3,1,0,1,1
2025-09-03,Jammu and Kashmir,Samba,Tier 3,1,0,1,1
2025-12-13,Odisha,Nuapada,Tier 3,1,2,18,20
2025-11-06,Arunachal Pradesh,Pakke Kessang,Tier 3,1,0,2,2
2025-06-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Tier 3,2,86,497,583
2025-12-01,Rajasthan,Salumbar,Tier 3,1,0,1,1
2025-11-18,Assam,West Karbi Anglong,Tier 3,1,0,1,1
2025-07-01,Maharashtra,Nanded,Tier 2,1,143,781,924
2025-11-02,Sikkim,Mangan,Tier 3,1,0,1,1
2025-12-21,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,0,1,1
2025-09-13,Nagaland,Longleng,Tier 3,1,0,8,8
2025-10-28,Nagaland,Shamator,Tier 3,1,0,1,1
2025-09-10,Arunachal Pradesh,Siang,Tier 3,1,0,6,6
2025-06-01,Karnataka,Vijayanagara,Tier 3,1,37,164,201
2025-12-10,Mizoram,Serchhip,Tier 3,1,0,1,1
2025-10-22,Odisha,Kendujhar,Tier 3,1,0,2,2
2025-10-18,Arunachal Pradesh,Tawang,Tier 3,1,2,3,5
2025-11-02,Arunachal Pradesh,Upper Subansiri,Tier 3,1,2,2,4
2025-09-05,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Tier 3,1,26,26,52
2025-06-01,Punjab,Pathankot,Tier 3,1,166,1652,1818
2025-12-12,Arunachal Pradesh,Namsai,Tier 3,1,0,14,14
2025-12-12,Arunachal Pradesh,Kamle,Tier 3,1,2,0,2
2025-12-26,Meghalaya,Eastern West Khasi Hills,Tier 3,1,2,0,2
2025-11-27,Nagaland,Wokha,Tier 3,1,0,34,34
2025-09-16,Arunachal Pradesh,East Kameng,Tier 3,1,6,72,78
2025-10-20,Delhi,South East Delhi,Tier 1,1,0,2,2
2025-12-22,Arunachal Pradesh,Upper Subansiri,Tier 3,1,2,9,11
2025-11-07,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,4,4
2025-11-12,Arunachal Pradesh,East Siang,Tier 3,1,0,4,4
2025-10-29,Arunachal Pradesh,Upper Subansiri,Tier 3,1,1,5,6
2025-10-17,Andaman and Nicobar Islands,Nicobars,Tier 3,1,0,3,3
2025-09-17,Arunachal Pradesh,Lower Siang,Tier 3,1,2,3,5
2025-05-01,Uttarakhand,Nainital,Tier 3,1,500,3370,3870
2025-09-13,Meghalaya,West Khasi Hills,Tier 3,1,8,50,58
2025-12-25,Madhya Pradesh,Harda,Tier 3,1,3,6,9
2025-09-01,Arunachal Pradesh,Siang,Tier 3,1,0,6,6
2025-05-01,Rajasthan,Udaipur,Tier 3,1,72,872,944
2025-12-12,Delhi,South East Delhi,Tier 1,1,0,28,28
2025-11-11,Andaman and Nicobar Islands,Nicobars,Tier 3,1,0,4,4
2025-11-14,Chhattisgarh,Narayanpur,Tier 3,1,16,86,102
2025-09-20,Arunachal Pradesh,Anjaw,Tier 3,1,0,1,1
2025-11-10,Nagaland,Niuland,Tier 3,1,0,2,2
2025-07-01,Andhra Pradesh,Prakasam,Tier 3,1,232,1052,1284
2025-12-08,Nagaland,Longleng,Tier 3,1,2,9,11
2025-12-26,Nagaland,Tseminyu,Tier 3,1,0,1,1
2025-12-11,Nagaland,Longleng,Tier 3,1,1,5,6
2025-07-01,Rajasthan,Bundi,Tier 3,1,114,496,610
2025-11-07,Rajasthan,Deeg,Tier 3,1,0,1,1
2025-09-01,Arunachal Pradesh,East Siang,Tier 3,1,5,14,19
2025-12-26,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,6,6
2025-09-17,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,0,5,5
2025-09-02,Nagaland,Tuensang,Tier 3,1,0,5,5
2025-11-09,Jammu and Kashmir,Kulgam,Tier 3,1,1,0,1
2025-10-31,Nagaland,Niuland,Tier 3,1,0,2,2
2025-10-24,Meghalaya,West Khasi Hills,Tier 3,2,27,232,259
2025-12-29,Manipur,Ukhrul,Tier 3,2,1,21,22
2025-09-06,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,2,2
2025-11-11,Arunachal Pradesh,Tawang,Tier 3,1,1,1,2
2025-09-09,Meghalaya,South West Garo Hills,Tier 3,2,6,56,62
2025-11-25,Meghalaya,Jaintia Hills,Tier 3,1,0,1,1
2025-09-10,Arunachal Pradesh,Shi-yomi,Tier 3,1,0,6,6
2025-12-13,Himachal Pradesh,Lahaul and Spiti,Tier 3,1,0,2,2
2025-04-01,Rajasthan,Jaisalmer,Tier 3,1,216,2486,2702
